Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"waitForElementVisible(findTestObject(""Object Repository/Shopping/img_item_speaker""), 10)",Chrome 121.0.0.0,,,2024-02-12 09:15:17,2024-02-12 09:15:18,0.383s,PASSED
"click(findTestObject(""Object Repository/Shopping/img_item_speaker""))",Chrome 121.0.0.0,,,2024-02-12 09:15:18,2024-02-12 09:15:18,0.457s,PASSED
"waitForElementVisible(findTestObject(""Object Repository/Shopping/btn_manufacturer""), 10)",Chrome 121.0.0.0,,,2024-02-12 09:15:18,2024-02-12 09:15:24,5.844s,PASSED
"click(findTestObject(""Object Repository/Shopping/btn_manufacturer""))",Chrome 121.0.0.0,,,2024-02-12 09:15:24,2024-02-12 09:15:25,0.399s,PASSED
manufacturer = manufacturer,Chrome 121.0.0.0,,,2024-02-12 09:15:25,2024-02-12 09:15:25,0.001s,PASSED
switch (manufacturer),Chrome 121.0.0.0,,,2024-02-12 09:15:25,2024-02-12 09:15:25,0.869s,PASSED
"click(findTestObject(""Object Repository/Shopping/btn_color""))",Chrome 121.0.0.0,,,2024-02-12 09:15:25,2024-02-12 09:15:26,0.515s,PASSED
color = color,Chrome 121.0.0.0,,,2024-02-12 09:15:26,2024-02-12 09:15:26,0.000s,PASSED
switch (color),Chrome 121.0.0.0,,,2024-02-12 09:15:26,2024-02-12 09:15:27,1.194s,PASSED
,,,,,,,
Test Cases/Final Project - Website/Positive Test/Shopping/filter_search_test,Chrome 121.0.0.0,,,2024-02-12 09:15:27,2024-02-12 09:15:55,27.439s,PASSED
website.Browser.openBrowser(website_url),Chrome 121.0.0.0,,,2024-02-12 09:15:27,2024-02-12 09:15:37,9.876s,PASSED
"waitForElementVisible(findTestObject(""Object Repository/User Management Objects/btn_account""), 10)",Chrome 121.0.0.0,,,2024-02-12 09:15:37,2024-02-12 09:15:38,0.730s,PASSED
delay(10),Chrome 121.0.0.0,,,2024-02-12 09:15:38,2024-02-12 09:15:48,10.010s,PASSED
"waitForElementVisible(findTestObject(""Object Repository/Shopping/img_item_speaker""), 10)",Chrome 121.0.0.0,,,2024-02-12 09:15:48,2024-02-12 09:15:48,0.411s,PASSED
"click(findTestObject(""Object Repository/Shopping/img_item_speaker""))",Chrome 121.0.0.0,,,2024-02-12 09:15:48,2024-02-12 09:15:49,0.423s,PASSED
"waitForElementVisible(findTestObject(""Object Repository/Shopping/btn_manufacturer""), 10)",Chrome 121.0.0.0,,,2024-02-12 09:15:49,2024-02-12 09:15:52,2.856s,PASSED
"click(findTestObject(""Object Repository/Shopping/btn_manufacturer""))",Chrome 121.0.0.0,,,2024-02-12 09:15:52,2024-02-12 09:15:52,0.361s,PASSED
manufacturer = manufacturer,Chrome 121.0.0.0,,,2024-02-12 09:15:52,2024-02-12 09:15:52,0.000s,PASSED
switch (manufacturer),Chrome 121.0.0.0,,,2024-02-12 09:15:52,2024-02-12 09:15:53,0.887s,PASSED
"click(findTestObject(""Object Repository/Shopping/btn_color""))",Chrome 121.0.0.0,,,2024-02-12 09:15:53,2024-02-12 09:15:53,0.577s,PASSED
